Boids()
Step 416, 0 has arrived, 0 collisions
Step 417, 0 has arrived, 0 collisions
Step 418, 0 has arrived, 0 collisions
Step 419, 0 has arrived, 0 collisions
Step 420, 0 has arrived, 0 collisions
Step 421, 0 has arrived, 0 collisions
Step 422, 0 has arrived, 0 collisions
Step 423, 0 has arrived, 0 collisions
Step 424, 0 has arrived, 0 collisions
Step 425, 0 has arrived, 0 collisions
Step 426, 0 has arrived, 0 collisions
Step 427, 0 has arrived, 0 collisions
Step 428, 0 has arrived, 0 collisions
Step 429, 0 has arrived, 0 collisions
Step 430, 0 has arrived, 0 collisions
Step 431, 0 has arrived, 0 collisions
Step 432, 0 has arrived, 0 collisions
Step 433, 0 has arrived, 0 collisions
Step 434, 0 has arrived, 0 collisions
Step 435, 0 has arrived, 0 collisions
Step 436, 0 has arrived, 0 collisions
Step 437, 0 has arrived, 0 collisions
Step 438, 0 has arrived, 0 collisions
Step 439, 0 has arrived, 0 collisions
Step 440, 0 has arrived, 0 collisions
Step 441, 0 has arrived, 0 collisions
Step 442, 0 has arrived, 0 collisions
Step 443, 0 has arrived, 0 collisions
Step 444, 0 has arrived, 0 collisions
Step 445, 0 has arrived, 0 collisions
Step 446, 0 has arrived, 0 collisions
Step 447, 0 has arrived, 0 collisions
Step 448, 0 has arrived, 0 collisions
Step 449, 0 has arrived, 0 collisions
Step 450, 0 has arrived, 0 collisions
Step 451, 0 has arrived, 0 collisions
Step 452, 0 has arrived, 0 collisions
Step 453, 0 has arrived, 0 collisions
Step 454, 0 has arrived, 0 collisions
Step 455, 0 has arrived, 0 collisions
Step 456, 0 has arrived, 0 collisions
Step 457, 0 has arrived, 0 collisions
Step 458, 0 has arrived, 0 collisions
Step 459, 0 has arrived, 0 collisions
Step 460, 0 has arrived, 0 collisions
Step 461, 0 has arrived, 0 collisions
Step 462, 0 has arrived, 0 collisions
Step 463, 0 has arrived, 0 collisions
Step 464, 0 has arrived, 0 collisions
Step 465, 0 has arrived, 0 collisions
Step 466, 0 has arrived, 0 collisions
Step 467, 0 has arrived, 0 collisions
Step 468, 0 has arrived, 0 collisions
Step 469, 0 has arrived, 0 collisions
Step 470, 0 has arrived, 0 collisions
